模型,评估成功数,评估失败数,实体准确率(%),关系准确率(%),正确实体数,错误实体数,正确关系数,错误关系数
DeepSeek,10,0,92.27,87.03,203,17,161,24
Gemini,10,0,99.66,95.3,293,1,223,11
Kimi,10,0,96.35,73.62,185,7,120,43
