模型,评估成功数,评估失败数,实体准确率(%),关系准确率(%),正确实体数,错误实体数,正确关系数,错误关系数
DeepSeek,10,0,91.76,84.16,245,22,186,35
Gemini,10,0,99.76,91.32,420,1,263,25
Kimi,10,0,98.45,73.94,190,3,122,43
