模型,评估成功数,评估失败数,实体准确率(%),关系准确率(%),正确实体数,错误实体数,正确关系数,错误关系数
DeepSeek,10,0,95.58,81.38,281,13,201,46
Gemini,8,2,98.7,97.71,304,4,213,5
Kimi,0,10,0.0,0.0,0,0,0,0
